ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11840975,JC448591,09/25/2019 10:00:00 PM,055XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1522,015,29,25,18,1139269,1899470,2019,10/02/2019 04:23:12 PM,41.880257766,-87.764084913,"(41.880257766, -87.764084913)",52,22216,26,674,7,32,25,97
11841479,JC449155,09/25/2019 10:00:00 PM,012XX W SHERWIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2423,024,49,1,14,1166353,1948786,2019,10/02/2019 04:23:12 PM,42.015047116,-87.663219511,"(42.015047116, -87.663219511)",3,21853,10,357,5,9,11,37
11841516,JC449192,09/25/2019 10:00:00 PM,010XX W 80TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0612,006,17,71,14,1170456,1851762,2019,10/02/2019 04:23:12 PM,41.748717417,-87.650960732,"(41.748717417, -87.650960732)",17,21554,70,487,31,59,20,230
11841258,JC448924,09/25/2019 10:00:00 PM,038XX N MONTICELLO AVE,0810,THEFT,OVER $500,STREET,false,false,1732,017,45,16,06,1151375,1925257,2019,10/02/2019 04:23:12 PM,41.950790695,-87.718954299,"(41.950790695, -87.718954299)",28,21538,16,326,50,39,1,20
11841598,JC449292,09/25/2019 10:00:00 PM,033XX S HAMILTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0912,009,12,59,14,1162561,1882491,2019,10/02/2019 04:23:12 PM,41.833209946,-87.679034009,"(41.833209946, -87.679034009)",29,14920,56,2,1,43,23,165
11841006,JC448626,09/25/2019 09:57:00 PM,041XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1115,011,28,26,14,1148758,1900170,2019,10/02/2019 04:23:12 PM,41.882000649,-87.729223885,"(41.882000649, -87.729223885)",11,21572,27,659,23,30,16,100
11840990,JC448625,09/25/2019 09:50:00 PM,030XX S KEDVALE AVE,0460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1031,010,22,30,08B,1149201,1884005,2019,10/02/2019 04:23:12 PM,41.837633348,-87.72801567,"(41.837633348, -87.72801567)",14,21569,32,248,28,57,21,167
11846032,JC454016,09/25/2019 09:45:00 PM,018XX W EVERGREEN AVE,0810,THEFT,OVER $500,STREET,false,false,1424,014,1,24,06,,,2019,10/02/2019 04:23:12 PM,,,,,,,,,,,
11841013,JC448589,09/25/2019 09:42:00 PM,061XX N HOYNE AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,2413,024,40,2,08B,1161221,1940473,2019,10/02/2019 04:23:12 PM,41.992344695,-87.682335948,"(41.992344695, -87.682335948)",46,4450,20,53,24,50,11,52
11841011,JC448588,09/25/2019 09:40:00 PM,028XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,true,false,1222,012,27,27,14,1157252,1900552,2019,10/02/2019 04:23:12 PM,41.882880585,-87.698023476,"(41.882880585, -87.698023476)",48,21184,28,50,46,28,15,77
11840902,JC448551,09/25/2019 09:34:00 PM,028XX W ROOSEVELT RD,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,true,false,1022,010,24,29,18,1157730,1894588,2019,10/02/2019 04:23:12 PM,41.866505058,-87.696430742,"(41.866505058, -87.696430742)",11,21569,30,35,23,28,16,146
11841002,JC448558,09/25/2019 09:31:00 PM,003XX W 79TH ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,false,false,0623,006,17,44,11,1175198,1852557,2019,10/02/2019 04:23:12 PM,41.750794483,-87.633560686,"(41.750794483, -87.633560686)",17,21554,67,495,31,59,20,228
11843845,JC451110,09/25/2019 09:30:00 PM,038XX W 84TH ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),false,false,0834,008,18,70,26,1152243,1848598,2019,10/02/2019 04:23:12 PM,41.740411839,-87.717783321,"(41.740411839, -87.717783321)",6,4300,69,198,30,8,13,232
11840989,JC448607,09/25/2019 09:30:00 PM,057XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1512,015,29,25,08B,1137962,1900162,2019,10/02/2019 04:23:12 PM,41.882180394,-87.768867436,"(41.882180394, -87.768867436)",52,22216,26,618,7,32,25,99
11842757,JC450708,09/25/2019 09:30:00 PM,071XX S WASHTENAW AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0831,008,18,66,08A,1159611,1857095,2019,10/02/2019 04:23:12 PM,41.763581125,-87.690554948,"(41.763581125, -87.690554948)",6,21867,64,333,30,58,13,208
11841809,JC449291,09/25/2019 09:30:00 PM,065XX S HERMITAGE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,false,false,0725,007,15,67,04A,1165792,1861390,2019,10/02/2019 04:23:12 PM,41.775238198,-87.667778383,"(41.775238198, -87.667778383)",44,22257,65,280,3,23,17,204
11841187,JC448549,09/25/2019 09:27:00 PM,100XX S WINCHESTER AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2213,022,19,72,08A,1165209,1837993,2019,10/02/2019 04:23:12 PM,41.711045745,-87.670576179,"(41.711045745, -87.670576179)",33,22212,71,628,42,13,9,252
11841043,JC448636,09/25/2019 09:27:00 PM,004XX N STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1831,018,42,8,18,1176292,1903437,2019,10/02/2019 04:23:12 PM,41.890389116,-87.628021263,"(41.890389116, -87.628021263)",22,21182,37,669,36,55,14,73
11840935,JC448567,09/25/2019 09:26:00 PM,036XX W FLOURNOY ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1133,011,24,27,18,1152192,1896782,2019,10/02/2019 04:23:12 PM,41.872636587,-87.716703562,"(41.872636587, -87.716703562)",36,21572,28,704,14,30,16,141
11840976,JC448556,09/25/2019 09:25:00 PM,023XX W MADISON ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1223,012,27,28,06,1160781,1899960,2019,10/02/2019 04:23:12 PM,41.881183664,-87.685081252,"(41.881183664, -87.685081252)",48,21184,29,37,46,28,15,75
11840947,JC448544,09/25/2019 09:23:00 PM,041XX S ROCKWELL ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0921,009,12,58,08A,1159720,1877026,2019,10/02/2019 04:23:12 PM,41.818272247,-87.689608457,"(41.818272247, -87.689608457)",29,22248,55,641,1,56,23,110
11841623,JC448560,09/25/2019 09:21:00 PM,004XX E 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0631,006,6,44,08B,1180889,1850070,2019,10/02/2019 04:23:12 PM,41.74384097,-87.612782598,"(41.74384097, -87.612782598)",31,21546,40,140,32,61,20,241
11840953,JC448542,09/25/2019 09:20:00 PM,061XX S ARCHER AVE,0460,BATTERY,SIMPLE,RESTAURANT,false,false,0811,008,23,56,08B,1136764,1867992,2019,10/02/2019 04:23:12 PM,41.793922473,-87.774035764,"(41.793922473, -87.774035764)",35,22268,53,587,6,7,13,131
11841051,JC448582,09/25/2019 09:18:00 PM,008XX N PARKSIDE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,1511,015,29,25,08A,1138535,1905106,2019,10/02/2019 04:23:12 PM,41.895736997,-87.766643452,"(41.895736997, -87.766643452)",52,4299,26,671,7,5,25,70
11841001,JC448537,09/25/2019 09:12:00 PM,075XX S HARVARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0623,006,6,69,08B,1175375,1854886,2019,10/02/2019 04:23:12 PM,41.757181588,-87.632842588,"(41.757181588, -87.632842588)",17,21554,67,495,32,59,20,228
11840981,JC448563,09/25/2019 09:05:00 PM,012XX S WASHTENAW AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1023,010,28,29,03,1158566,1894145,2019,10/02/2019 04:23:12 PM,41.86527236,-87.693373816,"(41.86527236, -87.693373816)",11,14920,30,16,23,43,21,151
